Sted,Date,Temperatur
Bergen - Florida Uib,2019-07-31,16.2
Bergen - Florida Uib,2019-08-01,18.5
Bergen - Florida Uib,2019-08-02,18.8
Bergen - Florida Uib,2019-08-03,18.0
Bergen - Florida Uib,2019-08-04,17.0
Bergen - Florida Uib,2019-08-05,16.4
Bergen - Florida Uib,2019-08-06,16.5
Bergen - Florida Uib,2019-08-07,17.7
Bergen - Florida Uib,2019-08-08,17.1
Bergen - Florida Uib,2019-08-09,18.4
Bergen - Florida Uib,2019-08-10,17.5
Bergen - Florida Uib,2019-08-11,16.8
Bergen - Florida Uib,2019-08-12,14.0
Bergen - Florida Uib,2019-08-13,12.1
Bergen - Florida Uib,2019-08-14,12.3
Bergen - Florida Uib,2019-08-15,14.7
Bergen - Florida Uib,2019-08-16,14.2
Bergen - Florida Uib,2019-08-17,15.4
Bergen - Florida Uib,2019-08-18,15.0
Bergen - Florida Uib,2019-08-19,14.1
Bergen - Florida Uib,2019-08-20,13.6
Bergen - Florida Uib,2019-08-21,13.2
Bergen - Florida Uib,2019-08-22,14.5
Bergen - Florida Uib,2019-08-23,15.1
Bergen - Florida Uib,2019-08-24,18.0
Bergen - Florida Uib,2019-08-25,18.9
Bergen - Florida Uib,2019-08-26,20.8
Bergen - Florida Uib,2019-08-27,20.7
Bergen - Florida Uib,2019-08-28,21.0
Bergen - Florida Uib,2019-08-29,15.3
Bergen - Florida Uib,2019-08-30,15.7
Bergen - Florida Uib,2019-08-31,18.1
Bergen - Florida Uib,2019-09-01,12.5
Bergen - Florida Uib,2019-09-02,11.5
Bergen - Florida Uib,2019-09-03,11.7
Bergen - Florida Uib,2019-09-04,11.1
Bergen - Florida Uib,2019-09-05,10.3
Bergen - Florida Uib,2019-09-06,11.3
Bergen - Florida Uib,2019-09-07,12.6
Bergen - Florida Uib,2019-09-08,11.8
Bergen - Florida Uib,2019-09-09,12.7
Bergen - Florida Uib,2019-09-10,14.8
Bergen - Florida Uib,2019-09-11,13.0
Bergen - Florida Uib,2019-09-12,12.3
Bergen - Florida Uib,2019-09-13,11.3
Bergen - Florida Uib,2019-09-14,11.2
Bergen - Florida Uib,2019-09-15,10.3
Bergen - Florida Uib,2019-09-16,8.8
Bergen - Florida Uib,2019-09-17,8.3
Bergen - Florida Uib,2019-09-18,8.9
Bergen - Florida Uib,2019-09-19,7.2
Bergen - Florida Uib,2019-09-20,10.6
Bergen - Florida Uib,2019-09-21,11.5
Bergen - Florida Uib,2019-09-22,13.4
Bergen - Florida Uib,2019-09-23,13.5
Bergen - Florida Uib,2019-09-24,12.4
Bergen - Florida Uib,2019-09-25,12.0
Bergen - Florida Uib,2019-09-26,13.9
Bergen - Florida Uib,2019-09-27,14.4
Bergen - Florida Uib,2019-09-28,14.1
Bergen - Florida Uib,2019-09-29,12.6
Bergen - Florida Uib,2019-09-30,7.8
Bergen - Florida Uib,2019-10-01,6.3
Bergen - Florida Uib,2019-10-02,9.1
Bergen - Florida Uib,2019-10-03,8.6
Bergen - Florida Uib,2019-10-04,8.5
Bergen - Florida Uib,2019-10-05,5.6
Bergen - Florida Uib,2019-10-06,5.4
Bergen - Florida Uib,2019-10-07,6.0
Bergen - Florida Uib,2019-10-08,9.0
Bergen - Florida Uib,2019-10-09,10.0
Bergen - Florida Uib,2019-10-10,9.6
Bergen - Florida Uib,2019-10-11,9.3
Bergen - Florida Uib,2019-10-12,9.2
Bergen - Florida Uib,2019-10-13,8.4
Bergen - Florida Uib,2019-10-14,8.4
Bergen - Florida Uib,2019-10-15,10.1
Bergen - Florida Uib,2019-10-16,11.1
Bergen - Florida Uib,2019-10-17,10.9
Bergen - Florida Uib,2019-10-18,10.0
Bergen - Florida Uib,2019-10-19,8.0
Bergen - Florida Uib,2019-10-20,7.5
Bergen - Florida Uib,2019-10-21,6.6
Bergen - Florida Uib,2019-10-22,9.8
Bergen - Florida Uib,2019-10-23,10.8
Bergen - Florida Uib,2019-10-24,11.5
Bergen - Florida Uib,2019-10-25,6.8
Bergen - Florida Uib,2019-10-26,6.1
Bergen - Florida Uib,2019-10-27,5.7
Bergen - Florida Uib,2019-10-28,4.3
Bergen - Florida Uib,2019-10-29,3.5
Bergen - Florida Uib,2019-10-30,4.7
Bergen - Florida Uib,2019-10-31,6.0
Bergen - Florida Uib,2019-11-01,6.2
Bergen - Florida Uib,2019-11-02,3.2
Bergen - Florida Uib,2019-11-03,4.3
Bergen - Florida Uib,2019-11-04,2.7
Bergen - Florida Uib,2019-11-05,2.4
Bergen - Florida Uib,2019-11-06,3.3
Bergen - Florida Uib,2019-11-07,3.2
Bergen - Florida Uib,2019-11-08,-0.3
Bergen - Florida Uib,2019-11-09,-1.3
Bergen - Florida Uib,2019-11-10,-1.7
Bergen - Florida Uib,2019-11-11,-1.4
Bergen - Florida Uib,2019-11-12,3.3
Bergen - Florida Uib,2019-11-13,3.7
Bergen - Florida Uib,2019-11-14,1.1
Bergen - Florida Uib,2019-11-15,2.7
Bergen - Florida Uib,2019-11-16,2.3
Bergen - Florida Uib,2019-11-17,1.6
Bergen - Florida Uib,2019-11-18,3.2
Bergen - Florida Uib,2019-11-19,2.0
Bergen - Florida Uib,2019-11-20,0.2
Bergen - Florida Uib,2019-11-21,4.2
Bergen - Florida Uib,2019-11-22,7.7
Bergen - Florida Uib,2019-11-23,5.8
Bergen - Florida Uib,2019-11-24,5.4
Bergen - Florida Uib,2019-11-25,6.6
Bergen - Florida Uib,2019-11-26,5.6
Bergen - Florida Uib,2019-11-27,5.1
Bergen - Florida Uib,2019-11-28,4.3
Bergen - Florida Uib,2019-11-29,2.1
Bergen - Florida Uib,2019-11-30,1.0
Bergen - Florida Uib,2019-12-01,1.9
Bergen - Florida Uib,2019-12-02,1.4
Bergen - Florida Uib,2019-12-03,6.6
Bergen - Florida Uib,2019-12-04,7.8
Bergen - Florida Uib,2019-12-05,7.3
Bergen - Florida Uib,2019-12-06,5.4
Bergen - Florida Uib,2019-12-07,2.7
Bergen - Florida Uib,2019-12-08,5.8
Bergen - Florida Uib,2019-12-09,3.9
Bergen - Florida Uib,2019-12-10,3.6
Bergen - Florida Uib,2019-12-11,6.7
Bergen - Florida Uib,2019-12-12,5.1
Bergen - Florida Uib,2019-12-13,4.6
Bergen - Florida Uib,2019-12-14,1.7
Bergen - Florida Uib,2019-12-15,4.1
Bergen - Florida Uib,2019-12-16,3.5
Bergen - Florida Uib,2019-12-17,4.7
Bergen - Florida Uib,2019-12-18,3.7
Bergen - Florida Uib,2019-12-19,6.6
Bergen - Florida Uib,2019-12-20,11.8
Bergen - Florida Uib,2019-12-21,9.0
Bergen - Florida Uib,2019-12-22,4.1
Bergen - Florida Uib,2019-12-23,4.6
Bergen - Florida Uib,2019-12-24,4.3
Bergen - Florida Uib,2019-12-25,3.1
Bergen - Florida Uib,2019-12-26,1.0
Bergen - Florida Uib,2019-12-27,2.2
Bergen - Florida Uib,2019-12-28,4.8
Bergen - Florida Uib,2019-12-29,8.6
Bergen - Florida Uib,2019-12-30,7.7
Bergen - Florida Uib,2019-12-31,4.7
Bergen - Florida Uib,2020-01-01,7.0
Bergen - Florida Uib,2020-01-02,7.6
Bergen - Florida Uib,2020-01-03,3.9
Bergen - Florida Uib,2020-01-04,2.2
Bergen - Florida Uib,2020-01-05,5.5
Bergen - Florida Uib,2020-01-06,7.5
Bergen - Florida Uib,2020-01-07,7.3
Bergen - Florida Uib,2020-01-08,6.2
Bergen - Florida Uib,2020-01-09,3.2
Bergen - Florida Uib,2020-01-10,1.4
Bergen - Florida Uib,2020-01-11,6.8
Bergen - Florida Uib,2020-01-12,5.3
Bergen - Florida Uib,2020-01-13,5.6
Bergen - Florida Uib,2020-01-14,5.3
Bergen - Florida Uib,2020-01-15,5.7
Bergen - Florida Uib,2020-01-16,7.6
Bergen - Florida Uib,2020-01-17,7.8
Bergen - Florida Uib,2020-01-18,5.4
Bergen - Florida Uib,2020-01-19,4.1
Bergen - Florida Uib,2020-01-20,7.2
Bergen - Florida Uib,2020-01-21,6.1
Bergen - Florida Uib,2020-01-22,3.6
Bergen - Florida Uib,2020-01-23,6.9
Bergen - Florida Uib,2020-01-24,4.4
Bergen - Florida Uib,2020-01-25,5.7
Bergen - Florida Uib,2020-01-26,6.5
Bergen - Florida Uib,2020-01-27,4.9
Bergen - Florida Uib,2020-01-28,4.0
Bergen - Florida Uib,2020-01-29,3.0
Bergen - Florida Uib,2020-01-30,4.1
Bergen - Florida Uib,2020-01-31,6.1
Bergen - Florida Uib,2020-02-01,5.6
Bergen - Florida Uib,2020-02-02,1.8
Bergen - Florida Uib,2020-02-03,1.0
Bergen - Florida Uib,2020-02-04,1.7
Bergen - Florida Uib,2020-02-05,5.1
Bergen - Florida Uib,2020-02-06,7.1
Bergen - Florida Uib,2020-02-07,3.8
Bergen - Florida Uib,2020-02-08,6.6
Bergen - Florida Uib,2020-02-09,6.1
Bergen - Florida Uib,2020-02-10,4.0
Bergen - Florida Uib,2020-02-11,3.6
Bergen - Florida Uib,2020-02-12,1.7
Bergen - Florida Uib,2020-02-13,1.6
Bergen - Florida Uib,2020-02-14,3.3
Bergen - Florida Uib,2020-02-15,6.8
Bergen - Florida Uib,2020-02-16,6.6
Bergen - Florida Uib,2020-02-17,6.6
Bergen - Florida Uib,2020-02-18,5.0
Bergen - Florida Uib,2020-02-19,4.3
Bergen - Florida Uib,2020-02-20,3.9
Bergen - Florida Uib,2020-02-21,5.9
Bergen - Florida Uib,2020-02-22,4.7
Bergen - Florida Uib,2020-02-23,3.5
Bergen - Florida Uib,2020-02-24,2.3
Bergen - Florida Uib,2020-02-25,2.9
Bergen - Florida Uib,2020-02-26,1.9
Bergen - Florida Uib,2020-02-27,0.7
Bergen - Florida Uib,2020-02-28,2.9
Bergen - Florida Uib,2020-02-29,3.9
Bergen - Florida Uib,2020-03-01,4.2
Bergen - Florida Uib,2020-03-02,4.6
Bergen - Florida Uib,2020-03-03,5.2
Bergen - Florida Uib,2020-03-04,4.3
Bergen - Florida Uib,2020-03-05,3.2
Bergen - Florida Uib,2020-03-06,3.5
Bergen - Florida Uib,2020-03-07,3.6
Bergen - Florida Uib,2020-03-08,7.2
Bergen - Florida Uib,2020-03-09,6.5
Bergen - Florida Uib,2020-03-10,5.7
Bergen - Florida Uib,2020-03-11,5.9
Bergen - Florida Uib,2020-03-12,4.4
Bergen - Florida Uib,2020-03-13,2.1
Bergen - Florida Uib,2020-03-14,2.1
Bergen - Florida Uib,2020-03-15,6.4
Bergen - Florida Uib,2020-03-16,4.3
Bergen - Florida Uib,2020-03-17,6.4
Bergen - Florida Uib,2020-03-18,4.3
Bergen - Florida Uib,2020-03-19,4.2
Bergen - Florida Uib,2020-03-20,3.6
Bergen - Florida Uib,2020-03-21,2.8
Bergen - Florida Uib,2020-03-22,4.2
Bergen - Florida Uib,2020-03-23,6.1
Bergen - Florida Uib,2020-03-24,7.3
Bergen - Florida Uib,2020-03-25,7.8
Bergen - Florida Uib,2020-03-26,6.3
Bergen - Florida Uib,2020-03-27,6.3
Bergen - Florida Uib,2020-03-28,3.2
Bergen - Florida Uib,2020-03-29,1.3
Bergen - Florida Uib,2020-03-30,4.7
Bergen - Florida Uib,2020-03-31,5.2
Bergen - Florida Uib,2020-04-01,5.8
