Navn,Tid(norsk normaltid),Middeltemperatur (døgn)
Oslo - Blindern,2019-07-01,17.7
Oslo - Blindern,2019-07-02,14.3
Oslo - Blindern,2019-07-03,13.0
Oslo - Blindern,2019-07-04,12.9
Oslo - Blindern,2019-07-05,15.7
Oslo - Blindern,2019-07-06,13.5
Oslo - Blindern,2019-07-07,14.5
Oslo - Blindern,2019-07-08,16.4
Oslo - Blindern,2019-07-09,17.4
Oslo - Blindern,2019-07-10,19.5
Oslo - Blindern,2019-07-11,19.7
Oslo - Blindern,2019-07-12,18.9
Oslo - Blindern,2019-07-13,19.1
Oslo - Blindern,2019-07-14,18.0
Oslo - Blindern,2019-07-15,16.3
Oslo - Blindern,2019-07-16,16.2
Oslo - Blindern,2019-07-17,17.6
Oslo - Blindern,2019-07-18,16.5
Oslo - Blindern,2019-07-19,16.1
Oslo - Blindern,2019-07-20,17.8
Oslo - Blindern,2019-07-21,16.9
Oslo - Blindern,2019-07-22,16.6
Oslo - Blindern,2019-07-23,20.3
Oslo - Blindern,2019-07-24,20.6
Oslo - Blindern,2019-07-25,21.6
Oslo - Blindern,2019-07-26,25.3
Oslo - Blindern,2019-07-27,25.0
Oslo - Blindern,2019-07-28,25.0
Oslo - Blindern,2019-07-29,24.6
Oslo - Blindern,2019-07-30,14.3
Oslo - Blindern,2019-07-31,14.6
Oslo - Blindern,2019-08-01,18.5
Oslo - Blindern,2019-08-02,20.3
Oslo - Blindern,2019-08-03,19.3
Oslo - Blindern,2019-08-04,17.2
Oslo - Blindern,2019-08-05,16.1
Oslo - Blindern,2019-08-06,16.1
Oslo - Blindern,2019-08-07,16.9
Oslo - Blindern,2019-08-08,17.7
Oslo - Blindern,2019-08-09,18.2
Oslo - Blindern,2019-08-10,16.2
Oslo - Blindern,2019-08-11,17.3
Oslo - Blindern,2019-08-12,17.6
Oslo - Blindern,2019-08-13,16.7
Oslo - Blindern,2019-08-14,14.5
Oslo - Blindern,2019-08-15,14.2
Oslo - Blindern,2019-08-16,15.6
Oslo - Blindern,2019-08-17,15.0
Oslo - Blindern,2019-08-18,15.7
Oslo - Blindern,2019-08-19,14.9
Oslo - Blindern,2019-08-20,15.5
Oslo - Blindern,2019-08-21,15.8
Oslo - Blindern,2019-08-22,12.8
Oslo - Blindern,2019-08-23,16.8
Oslo - Blindern,2019-08-24,16.9
Oslo - Blindern,2019-08-25,18.7
Oslo - Blindern,2019-08-26,18.3
Oslo - Blindern,2019-08-27,19.5
Oslo - Blindern,2019-08-28,18.8
Oslo - Blindern,2019-08-29,17.6
Oslo - Blindern,2019-08-30,15.3
Oslo - Blindern,2019-08-31,17.1
Oslo - Blindern,2019-09-01,15.7
Oslo - Blindern,2019-09-02,12.8
Oslo - Blindern,2019-09-03,12.5
Oslo - Blindern,2019-09-04,10.7
Oslo - Blindern,2019-09-05,11.6
Oslo - Blindern,2019-09-06,10.2
Oslo - Blindern,2019-09-07,10.7
Oslo - Blindern,2019-09-08,10.9
Oslo - Blindern,2019-09-09,12.4
Oslo - Blindern,2019-09-10,14.9
Oslo - Blindern,2019-09-11,13.8
Oslo - Blindern,2019-09-12,12.7
Oslo - Blindern,2019-09-13,12.1
Oslo - Blindern,2019-09-14,10.1
Oslo - Blindern,2019-09-15,13.5
Oslo - Blindern,2019-09-16,10.9
Oslo - Blindern,2019-09-17,9.8
Oslo - Blindern,2019-09-18,10.2
Oslo - Blindern,2019-09-19,8.1
Oslo - Blindern,2019-09-20,12.1
Oslo - Blindern,2019-09-21,13.2
Oslo - Blindern,2019-09-22,12.3
Oslo - Blindern,2019-09-23,10.0
Oslo - Blindern,2019-09-24,10.5
Oslo - Blindern,2019-09-25,10.7
Oslo - Blindern,2019-09-26,10.4
Oslo - Blindern,2019-09-27,9.6
Oslo - Blindern,2019-09-28,10.9
Oslo - Blindern,2019-09-29,10.8
Oslo - Blindern,2019-09-30,7.0
Oslo - Blindern,2019-10-01,8.5
Oslo - Blindern,2019-10-02,8.1
Oslo - Blindern,2019-10-03,5.0
Oslo - Blindern,2019-10-04,3.7
Oslo - Blindern,2019-10-05,2.8
Oslo - Blindern,2019-10-06,2.3
Oslo - Blindern,2019-10-07,2.3
Oslo - Blindern,2019-10-08,3.4
Oslo - Blindern,2019-10-09,4.6
Oslo - Blindern,2019-10-10,6.8
Oslo - Blindern,2019-10-11,6.9
Oslo - Blindern,2019-10-12,7.4
Oslo - Blindern,2019-10-13,7.0
Oslo - Blindern,2019-10-14,7.7
Oslo - Blindern,2019-10-15,6.4
Oslo - Blindern,2019-10-16,6.6
Oslo - Blindern,2019-10-17,6.8
Oslo - Blindern,2019-10-18,7.3
Oslo - Blindern,2019-10-19,6.6
Oslo - Blindern,2019-10-20,5.5
Oslo - Blindern,2019-10-21,3.9
Oslo - Blindern,2019-10-22,7.2
Oslo - Blindern,2019-10-23,8.7
Oslo - Blindern,2019-10-24,8.4
Oslo - Blindern,2019-10-25,9.2
Oslo - Blindern,2019-10-26,4.8
Oslo - Blindern,2019-10-27,2.7
Oslo - Blindern,2019-10-28,2.3
Oslo - Blindern,2019-10-29,1.8
Oslo - Blindern,2019-10-30,0.2
Oslo - Blindern,2019-10-31,3.0
Oslo - Blindern,2019-11-01,0.5
Oslo - Blindern,2019-11-02,2.0
Oslo - Blindern,2019-11-03,1.4
Oslo - Blindern,2019-11-04,-0.2
Oslo - Blindern,2019-11-05,-2.3
Oslo - Blindern,2019-11-06,-2.9
Oslo - Blindern,2019-11-07,-2.9
Oslo - Blindern,2019-11-08,-1.5
Oslo - Blindern,2019-11-09,-0.5
Oslo - Blindern,2019-11-10,-1.6
Oslo - Blindern,2019-11-11,-2.6
Oslo - Blindern,2019-11-12,1.6
Oslo - Blindern,2019-11-13,2.9
Oslo - Blindern,2019-11-14,2.7
Oslo - Blindern,2019-11-15,2.8
Oslo - Blindern,2019-11-16,2.5
Oslo - Blindern,2019-11-17,3.0
Oslo - Blindern,2019-11-18,3.1
Oslo - Blindern,2019-11-19,5.2
Oslo - Blindern,2019-11-20,1.3
Oslo - Blindern,2019-11-21,4.7
Oslo - Blindern,2019-11-22,5.2
Oslo - Blindern,2019-11-23,4.6
Oslo - Blindern,2019-11-24,3.1
Oslo - Blindern,2019-11-25,1.7
Oslo - Blindern,2019-11-26,1.6
Oslo - Blindern,2019-11-27,1.7
Oslo - Blindern,2019-11-28,0.6
Oslo - Blindern,2019-11-29,-1.3
Oslo - Blindern,2019-11-30,-5.3
Oslo - Blindern,2019-12-01,-5.4
Oslo - Blindern,2019-12-02,-5.3
Oslo - Blindern,2019-12-03,-2.3
Oslo - Blindern,2019-12-04,-0.2
Oslo - Blindern,2019-12-05,4.1
Oslo - Blindern,2019-12-06,2.7
Oslo - Blindern,2019-12-07,1.1
Oslo - Blindern,2019-12-08,-0.4
Oslo - Blindern,2019-12-09,1.0
Oslo - Blindern,2019-12-10,-2.2
Oslo - Blindern,2019-12-11,4.6
Oslo - Blindern,2019-12-12,3.7
Oslo - Blindern,2019-12-13,2.1
Oslo - Blindern,2019-12-14,1.8
Oslo - Blindern,2019-12-15,1.6
Oslo - Blindern,2019-12-16,0.0
Oslo - Blindern,2019-12-17,-2.0
Oslo - Blindern,2019-12-18,-3.7
Oslo - Blindern,2019-12-19,-2.7
Oslo - Blindern,2019-12-20,2.4
Oslo - Blindern,2019-12-21,3.2
Oslo - Blindern,2019-12-22,2.1
Oslo - Blindern,2019-12-23,2.0
Oslo - Blindern,2019-12-24,1.5
Oslo - Blindern,2019-12-25,-0.3
Oslo - Blindern,2019-12-26,-2.4
Oslo - Blindern,2019-12-27,-4.9
Oslo - Blindern,2019-12-28,-1.2
Oslo - Blindern,2019-12-29,4.4
Oslo - Blindern,2019-12-30,5.5
Oslo - Blindern,2019-12-31,1.1
Oslo - Blindern,2020-01-01,1.9
Oslo - Blindern,2020-01-02,4.1
